"run","page","url","performance","accessibility","best_practices","seo","error"
"3","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"4","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"5","invoice-add","http://localhost:3000/invoice-add","39","86","96","92",""
"6","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"7","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"8","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"9","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"10","invoice-add","http://localhost:3000/invoice-add","38","86","96","92",""
"1","invoice-expense","http://localhost:3000/invoice-expense","42","90","96","92",""
"2","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"3","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"4","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"5","invoice-expense","http://localhost:3000/invoice-expense","39","90","96","92",""
"6","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"7","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"8","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"9","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"10","invoice-expense","http://localhost:3000/invoice-expense","38","90","96","92",""
"1","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","42","82","96","92",""
"2","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"3","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","39","82","96","92",""
"4","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"5","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","39","82","96","92",""
"6","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"7","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"8","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","39","82","96","92",""
"9","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"10","invoice-expense-edit","http://localhost:3000/invoice-expense-edit","38","82","96","92",""
"1","invoice-edit","http://localhost:3000/invoice-edit","43","92","96","92",""
"2","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"3","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"4","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"5","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"6","invoice-edit","http://localhost:3000/invoice-edit","39","92","96","92",""
"7","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"8","invoice-edit","http://localhost:3000/invoice-edit","39","92","96","92",""
"9","invoice-edit","http://localhost:3000/invoice-edit","38","92","96","92",""
"10","invoice-edit","http://localhost:3000/invoice-edit","39","92","96","92",""
"1","invoice-preview","http://localhost:3000/invoice-preview","43","96","96","92",""
"2","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"3","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"4","invoice-preview","http://localhost:3000/invoice-preview","39","96","96","92",""
"5","invoice-preview","http://localhost:3000/invoice-preview","39","96","96","92",""
"6","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"7","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"8","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"9","invoice-preview","http://localhost:3000/invoice-preview","38","96","96","92",""
"10","invoice-preview","http://localhost:3000/invoice-preview","39","96","96","92",""
"1","invoice-view","http://localhost:3000/invoice/2","43","89","100","91",""
"2","invoice-view","http://localhost:3000/invoice/2","39","89","100","91",""
"3","invoice-view","http://localhost:3000/invoice/2","38","89","100","91",""
"4","invoice-view","http://localhost:3000/invoice/2","37","89","100","91",""
"5","invoice-view","http://localhost:3000/invoice/2","37","89","100","91",""
"6","invoice-view","http://localhost:3000/invoice/2","40","89","100","91",""
"7","invoice-view","http://localhost:3000/invoice/2","39","89","100","91",""
"8","invoice-view","http://localhost:3000/invoice/2","38","89","100","91",""
"9","invoice-view","http://localhost:3000/invoice/2","38","89","100","91",""
"10","invoice-view","http://localhost:3000/invoice/2","39","89","100","91",""
"1","expense-preview","http://localhost:3000/expense-preview","43","96","96","92",""
"2","expense-preview","http://localhost:3000/expense-preview","27","96","96","92",""
"3","expense-preview","http://localhost:3000/expense-preview","39","96","96","92",""
"4","expense-preview","http://localhost:3000/expense-preview","38","96","96","92",""
"5","expense-preview","http://localhost:3000/expense-preview","39","96","96","92",""
"6","expense-preview","http://localhost:3000/expense-preview","38","96","96","92",""
"7","expense-preview","http://localhost:3000/expense-preview","38","96","96","92",""
"8","expense-preview","http://localhost:3000/expense-preview","39","96","96","92",""
"9","expense-preview","http://localhost:3000/expense-preview","38","96","96","92",""
"10","expense-preview","http://localhost:3000/expense-preview","39","96","96","92",""
"1","armada-list","http://localhost:3000/armada-list","36","87","96","92",""
"2","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"3","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"4","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"5","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"6","armada-list","http://localhost:3000/armada-list","38","87","96","92",""
"7","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"8","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"9","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"10","armada-list","http://localhost:3000/armada-list","37","87","96","92",""
"1","armada-add","http://localhost:3000/armada-add","44","91","96","92",""
"2","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"3","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"4","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"5","armada-add","http://localhost:3000/armada-add","39","91","96","92",""
"6","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"7","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"8","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"9","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"10","armada-add","http://localhost:3000/armada-add","38","91","96","92",""
"1","armada-edit","http://localhost:3000/armada-edit/4","37","91","96","92",""
"2","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"3","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"4","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"5","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"6","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"7","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"8","armada-edit","http://localhost:3000/armada-edit/4","39","91","96","92",""
"9","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"10","armada-edit","http://localhost:3000/armada-edit/4","38","91","96","92",""
"1","calendar","http://localhost:3000/calendar","21","81","96","83",""
"2","calendar","http://localhost:3000/calendar","25","81","96","83",""
"3","calendar","http://localhost:3000/calendar","26","81","96","83",""
"4","calendar","http://localhost:3000/calendar","36","81","96","83",""
"5","calendar","http://localhost:3000/calendar","25","81","96","83",""
"6","calendar","http://localhost:3000/calendar","25","81","96","83",""
"7","calendar","http://localhost:3000/calendar","24","81","96","83",""
"8","calendar","http://localhost:3000/calendar","25","81","96","83",""
"9","calendar","http://localhost:3000/calendar","24","81","96","83",""
"10","calendar","http://localhost:3000/calendar","25","81","96","83",""
"1","calendar-main","http://localhost:3000/calendar-main","27","81","96","83",""
"2","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"3","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"4","calendar-main","http://localhost:3000/calendar-main","40","81","96","83",""
"5","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"6","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"7","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"8","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"9","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"10","calendar-main","http://localhost:3000/calendar-main","37","81","96","83",""
"1","role-access","http://localhost:3000/role-access","0","0","0","0",""
"2","role-access","http://localhost:3000/role-access","0","0","0","0",""
"3","role-access","http://localhost:3000/role-access","0","0","0","0",""
"4","role-access","http://localhost:3000/role-access","0","0","0","0",""
"5","role-access","http://localhost:3000/role-access","0","0","0","0",""
"6","role-access","http://localhost:3000/role-access","0","0","0","0",""
"7","role-access","http://localhost:3000/role-access","0","0","0","0",""
"8","role-access","http://localhost:3000/role-access","0","0","0","0",""
"9","role-access","http://localhost:3000/role-access","0","0","0","0",""
"10","role-access","http://localhost:3000/role-access","0","0","0","0",""
"1","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"2","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"3","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"4","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"5","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"6","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"7","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"8","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"9","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"10","assign-role","http://localhost:3000/assign-role","0","0","0","0",""
"1","add-user","http://localhost:3000/add-user","45","96","96","92",""
"2","add-user","http://localhost:3000/add-user","39","96","96","92",""
"3","add-user","http://localhost:3000/add-user","39","96","96","92",""
"4","add-user","http://localhost:3000/add-user","39","96","96","92",""
"5","add-user","http://localhost:3000/add-user","39","96","96","92",""
"6","add-user","http://localhost:3000/add-user","38","96","96","92",""
"7","add-user","http://localhost:3000/add-user","38","96","96","92",""
"8","add-user","http://localhost:3000/add-user","39","96","96","92",""
"9","add-user","http://localhost:3000/add-user","38","96","96","92",""
"10","add-user","http://localhost:3000/add-user","39","96","96","92",""
"1","customer-registrations","http://localhost:3000/customer-registrations","36","96","96","92",""
"2","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"3","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"4","customer-registrations","http://localhost:3000/customer-registrations","38","96","96","92",""
"5","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"6","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"7","customer-registrations","http://localhost:3000/customer-registrations","38","96","96","92",""
"8","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"9","customer-registrations","http://localhost:3000/customer-registrations","38","96","96","92",""
"10","customer-registrations","http://localhost:3000/customer-registrations","39","96","96","92",""
"1","order-acceptance","http://localhost:3000/order-acceptance","35","92","96","92",""
"2","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"3","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"4","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"5","order-acceptance","http://localhost:3000/order-acceptance","39","92","96","92",""
"6","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"7","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"8","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"9","order-acceptance","http://localhost:3000/order-acceptance","38","92","96","92",""
"10","order-acceptance","http://localhost:3000/order-acceptance","37","92","96","92",""
